No,日本語名,英語名
1,戦略コンサルティング,Strategy Consulting
2,経営戦略,Business Strategy
3,バリューチェーン,Value Chain
4,コア・コンピタンス,Core Competence
5,SWOT分析,SWOT Analysis
6,PEST分析,PEST Analysis
7,ファイブフォース分析,Five Forces Analysis
8,バランスト・スコアカード,Balanced Scorecard
9,KPI（重要業績評価指標）,KPI (Key Performance Indicator)
10,KGI（重要目標達成指標）,KGI (Key Goal Indicator)
11,ROI（投資対効果）,ROI (Return on Investment)
12,ベンチマーキング,Benchmarking
13,ベスト・プラクティス,Best Practices
14,デューデリジェンス,Due Diligence
15,M&A（合併・買収）,M&A (Mergers & Acquisitions)
16,PMI（買収後統合）,PMI (Post-Merger Integration)
17,チェンジマネジメント,Change Management
18,デジタルトランスフォーメーション,Digital Transformation
19,アジャイル,Agile
20,リーン経営,Lean Management
21,事業ポートフォリオ,Business Portfolio
22,オペレーショナル・エクセレンス,Operational Excellence
23,サプライチェーン,Supply Chain
24,シナジー,Synergy
25,ステークホルダー,Stakeholder
26,ガバナンス,Governance
27,コンプライアンス,Compliance
28,リスクマネジメント,Risk Management
29,イシューツリー,Issue Tree
30,ロジックツリー,Logic Tree
31,MECE（ミーシー）,MECE (Mutually Exclusive, Collectively Exhaustive)
32,ピラミッド構造,Pyramid Structure
33,ゼロベース思考,Zero-Based Thinking
34,アウトソーシング,Outsourcing
35,オフショアリング,Offshoring
36,ビジネスモデル,Business Model
37,バリュープロポジション,Value Proposition
38,競争優位性,Competitive Advantage
39,プロセス改善,Process Improvement
40,業務プロセス再設計,Business Process Reengineering
41,組織設計,Organizational Design
42,タレントマネジメント,Talent Management
43,リーダーシップ開発,Leadership Development
44,ファシリテーション,Facilitation
45,ステアリング委員会,Steering Committee
46,プロジェクトマネジメント,Project Management
47,マイルストーン,Milestone
48,デリバラブル,Deliverable
49,ワークストリーム,Workstream
50,エンゲージメント,Engagement
51,ホワイトペーパー,White Paper
52,ケーススタディ,Case Study
53,提言,Recommendation
54,経営診断,Business Diagnosis
55,業務効率化,Operational Efficiency
56,コスト削減,Cost Reduction
57,収益改善,Revenue Improvement
58,ターゲット・オペレーティング・モデル,Target Operating Model
59,アズイズ,As-Is
60,トゥービー,To-Be
61,ロードマップ,Roadmap
