No,日本語名,英語名
1,医療費控除,
2,営業利益,
3,一時所得,
4,売上総利益,
5,青色申告,
6,裏書手形,
7,永久資産,
8,安全余裕率,
9,移転価格税制,
10,粗利益率,
11,オペックス,
12,印紙税,
13,安全性分析,
14,売上高純利益率,
15,営業譲渡,
16,違法配当,
17,受渡日,
18,オプション取引,
19,一般管理費,
20,受取配当金,
21,印刷製本費,
22,営業キャッシュフロー,
23,後入先出法,
24,営業損失,
25,オフバランス取引,
26,売掛金勘定,
27,エクイティファイナンス,
28,営業費,
29,営業外費用,
30,営業権,
31,営業外収益,
32,売掛債権,
33,売上高販管費率,
34,売掛債権回転率,
35,売上高伸び率,
36,売上高総利益率,
37,売上高成長率,
38,売上高営業利益率,
39,売上高,
40,売上高経常利益率,
41,売上原価率,
42,売上総利益率,
43,売上債権回転率,
44,受取手形,
45,売上原価,
46,一年基準,
47,粗利益,
48,売上割引,
49,受取利息,
50,預り金,
51,移動平均法,
52,延滞税,
53,青色申告特別控除,
54,移動平均法,
55,青色申告会,
56,印紙税法,
57,経済的付加価値,
58,売掛金,
59,アウトソーシング,
60,控除,
61,減資,
62,給与所得,
63,企業会計,
64,勘定科目,
65,会計基準,
66,個人事業主,
67,減損会計,
68,減価償却,
69,経費,
70,給与,
71,管理会計,
72,確定申告,
73,会計期間,
74,国民健康保険,
75,源泉徴収,
76,欠損金,
77,黒字倒産,
78,基礎控除,
79,還付金,
80,会計監査,
81,減価償却方法,
82,現金,
83,減資差益,
84,級数法,
85,経過勘定,
86,買掛金勘定,
87,貸倒引当金,
88,開業費,
89,継続記録法,
90,会計,
91,誤謬,
92,公会計,
93,環境会計,
94,会計原則,
95,会計公準,
96,金銭出資,
97,株主割当増資,
98,公租公課,
99,キャペックス,
100,原価計算,
101,公認会計士,
102,加工費,
103,関税,
104,貸倒損失,
105,寡夫控除,
106,過少申告加算税,
107,季節関税,
108,過小資本税制,
109,加算税,
110,課税仕入,
111,決算短信,
112,株式移転,
113,株式移転制度,
114,株式交換制度,
115,株式交換,
116,株式公開支援,
117,会社分割,
118,企業再編,
119,共同事業,
120,合併,
121,逆粉飾決算,
122,関連当事者,
123,後発事象,
124,偶発債務,
125,会計方針,
126,合弁事業,
127,逆取得,
128,個別財務諸表,
129,企業集団,
130,会計ビッグバン,
131,建設仮勘定,
132,券面額説,
133,借入金,
134,個別法,
135,固定資産売却益,
136,為替差損益,
137,形態別分類,
138,交際費,
139,固定資産除却損,
140,経営成績,
141,貸倒引当金繰入,
142,勤務費用,
143,金融商品会計,
144,割賦基準,
145,貸倒懸念債権,
146,建設業会計,
147,固定負債,
148,固定費,
149,固定長期適合率,
150,固定比率,
151,小口現金,
152,現預金比率,
153,工業手形,
154,公募増資,
155,貢献利益,
156,現金預金比率,
157,建設利息,
158,限界利益,
159,原価,
160,継続企業の前提,
161,経常損失,
162,繰延資産,
163,間接金融,
164,企業間信用,
165,業務委託費,
166,株主資本利益率,
167,借入金融,
168,株主割り当て,
169,広告宣伝費,
170,株主資本比率,
171,株主資本配当率,
172,株主資本,
173,株式益利回り,
174,株価純資産倍率,
175,株価キャッシュフロー倍率,
176,株価売上高倍率,
177,株価収益率,
178,外部金融,
179,クロス取引,
180,外注費,
181,外部資本,
182,海外売上高,
183,外注加工費,
184,買掛債務,
185,繰延資産償却,
186,給料手当,
187,期末棚卸高,
188,寄付金,
189,期首棚卸高,
190,機能別分類,
191,会議費,
192,間接税,
193,経営セーフティ共済,
194,工事完成基準,
195,外貨建取引,
196,企業結合会計,
197,固定資産,
198,確定給付型年金,
199,為替予約,
200,確定拠出型年金,
201,企業会計原則,
202,国際会計基準,
203,寡婦控除,
204,現金主義,
205,個別対応,
206,原価基準,
207,国税,
208,キャリアアップ助成金,
209,期間対応,
210,期間損益計算,
211,キャッシュ・フロー計算書,
212,企業会計基準委員会,
213,掛取引,
214,監査役会設置会社,
215,給与所得控除,
216,決算報告書,
217,為替換算調整勘定,
218,建設協力金,
219,月次決算,
220,金融資産,
221,工事進行基準,
222,繰延税金資産,
223,課税所得,
224,買掛金,
225,繰越欠損金,
226,厚生年金,
227,経常利益,
228,帳簿,
229,中会社,
230,取締役,
231,取締役会,
232,敵対的買収,
233,特約店制度,
234,特別目的会社,
235,大会社,
236,特別障害者控除,
237,大陸式決算法,
238,当座比率,
239,超過収益力,
240,直接償却,
241,手形要件,
242,長期借入金,
243,短期借入金,
244,短期貸付金,
245,単名手形,
246,長期貸付金,
247,棚卸資産,
248,棚卸計算法,
249,通信費,
250,当期純利益,
251,手形売却損,
252,特別損益,
253,通勤費用,
254,退職給付会計,
255,賃借料,
256,遅延認識項目,
257,デリバティブ取引,
258,調整控除,
259,直接税,
260,地震保険料控除,
261,たばこ税,
262,単式簿記,
263,地方税,
264,貸借対照表,
265,退職給付債務,
266,退職給付費用,
267,退職一時金制度,
268,退職給付引当金,
269,ノマド,
270,年末調整,
271,年次報告書,
272,年次決算報告書,
273,任意監査,
274,内国法人,
275,年金資産,
276,法定調書,
277,ふるさと納税,
278,補助金,
279,法人税,
280,販売促進費用補助制度,
281,法定福利費,
282,売却時価,
283,発生主義,
284,非営利法人会計,
285,付随費用,
286,配当,
287,配当所得,
288,保護関税,
289,標準原価,
290,変動比率,
291,分離課税,
292,別途積立金,
293,配当課税,
294,フロー,
295,普通株式,
296,分社型分割と分割型分割,
297,粉飾決算,
298,負債性引当金,
299,負債,
300,不渡手形,
301,複名手形,
302,評価性引当金,
303,引当金,
304,不完全手形,
305,売買目的有価証券,
306,配当可能限度額,
307,破産更生債権,
308,販売費,
309,保険料,
310,ヘッジ会計,
311,販売基準,
312,発送費,
313,不良債権,
314,パーチェス法,
315,保険差益,
316,備品消耗品費,
317,費用,
318,配当控除,
319,複式簿記,
320,法人税法,
321,配偶者特別控除,
322,扶養控除,
323,法定実効税率,
324,変動費,
325,福利厚生費,
326,名刺,
327,無償減資,
328,無申告加算税,
329,持株会社,
330,無形固定資産,
331,未払費用,
332,前渡金,
333,未収収益,
334,満期保有債券,
335,未払金,
336,前払費用,
337,前受金,
338,前受収益,
339,持合株式,
340,前払年金費用,
341,未実現利益,
342,みなし配当,
343,予定納税,
344,有償減資,
345,有価証券報告書,
346,与信管理,
347,預金,
348,約定日,
349,約束手形,
350,有形固定資産,
351,有価証券利息,
352,有価証券売却益,
353,有価証券売却損,
354,予定昇給率,
355,役員賞与,
356,役員報酬,
357,役員退職慰労金,
358,剰余金,
359,有価証券,
360,利益,
361,臨時差益,
362,リース取引,
363,連結決算,
364,連結所得,
365,連結外し,
366,連結貸借対照表,
367,連結キャッシュフロー計算書,
368,連結財務諸表,
369,利益剰余金,
370,流動負債,
371,旅費交通費,
372,流動資産,
373,労務費,
374,割引率,
375,社会保険料控除,
376,欠損金,
377,自己宛小切手,
378,総合償却,
379,資本取引,
380,残存価額,
381,裏書手形,
382,特別障害者控除,
383,公租公課,
384,無申告加算税,
385,キャペックス,
386,標準原価,
387,材料費,
388,製造原価,
389,債務確定主義,
390,控除対象外消費税額等,
391,売上高純利益率,
392,任意監査,
393,会計方針,
394,流動負債,
395,未払費用,
396,前渡金,
397,前払費用,
398,直接償却,
399,長期借入金,
400,配当可能限度額,
401,短期借入金,
402,短期貸付金,
403,長期貸付金,
404,建設仮勘定,
405,破産更生債権,
406,有価証券利息,
407,通信費,
408,車両費,
409,支払利息割引料,
410,固定資産除却損,
411,印刷製本費,
412,雑損失,
413,雑収入,
414,業務委託費,
415,新聞図書費,
416,諸会費,
417,繰延資産償却,
418,期首棚卸高,
419,備品消耗品費,
420,移動平均法,
421,仕掛品,
422,出資金,
423,建設協力金,
424,支払手数料,
425,清算貸借対照表,
426,減資差益,
427,有償減資,
428,無償減資,
429,その他利益剰余金,
430,総資本,
431,オペックス,
432,変動比率,
433,加工費,
434,別途積立金,
435,資本効率,
436,設備投資効率,
437,分社型分割と分割型分割,
438,資本利益率,
439,偶発債務,
440,セグメント情報,
441,支配力基準,
442,負債性引当金,
443,評価性引当金,
444,その他有価証券評価差額金,
445,固定資産売却益,
446,受取配当金,
447,賃借料,
448,外注加工費,
449,パーチェス法,
450,営業外費用,
451,前払年金費用,
452,退職給付費用,
453,役員退職慰労金,
454,e-Tax,
455,EBITDA,
456,EDINET,
457,IFRS,
458,当期純利益,
459,利益剰余金,
460,自己資本比率,
461,ROE（自己資本利益率）,
462,固定比率,
463,流動比率,
464,委託販売,
465,一括評価金銭債権,
466,一括評価の貸倒引当金,
467,一般債権,
468,売上計上基準,
469,売上高,
470,売上値引,
471,売上返品,
472,売上割引,
473,売上割戻,
474,売掛金,
475,売掛金元帳,
476,エイジングテスト,
477,回収期限到来基準,
478,回収基準,
479,貸倒懸念債権,
480,貸倒実績率,
481,貸倒損失,
482,貸倒引当金,
483,貸倒引当金繰入額,
484,割賦販売,
485,期日別債権管理,
486,キャッシュ・フロー見積法,
487,形式上の貸倒れ,
488,検収基準,
489,工事完成基準,
490,工事進行基準,
491,個別評価金銭債権,
492,個別評価の貸倒引当金,
493,債権残高確認,
494,債権残高確認書,
495,財務内容評価法,
496,残高確認,
497,事実上の貸倒れ,
498,実現主義,
499,実質的に債権とみられない金額,
500,出荷基準,
501,試用販売,
502,信用調査,
503,滞留債権,
504,長期割賦販売等,
505,長期大規模工事,
506,得意先元帳,
507,取引条件,
508,年齢調べ,
509,延払基準,
