No,日本語名,英語名,定義,カテゴリ,ドメイン
1,損益計算書,IncomeStatement,一定期間の収益・費用・利益を示す財務諸表。P&Lとも呼ばれる。,Document,会計
2,貸借対照表,BalanceSheet,特定時点の資産・負債・純資産を示す財務諸表。B/Sとも呼ばれる。,Document,会計
3,キャッシュフロー計算書,CashFlowStatement,一定期間の現金増減を営業・投資・財務別に示す財務諸表。,Document,会計
4,有価証券報告書,AnnualSecuritiesReport,上場企業が金融庁に提出する法定開示書類。財務情報等を網羅する。,Document,会計
5,四半期報告書,QuarterlyReport,3ヶ月ごとに提出する業績開示書類。,Document,会計
6,連結財務諸表,ConsolidatedFinancialStatements,親会社と子会社を一体として作成した財務諸表。,Document,会計
7,個別財務諸表,StandaloneFinancialStatements,親会社単体で作成した財務諸表。,Document,会計
8,IFRS,IFRS,国際財務報告基準。国際会計基準審議会（IASB）が策定する会計基準。,Concept,会計
9,J-GAAP,JGAAP,日本会計基準。日本の上場企業が主に採用する会計基準。,Concept,会計
10,収益認識基準,RevenueRecognitionStandard,IFRS15/ASC606に基づく収益認識の会計基準。,Concept,会計
11,税効果会計,TaxEffectAccounting,会計上の利益と税務上の所得の差異を調整するための会計処理。,Process,会計
12,固定費,FixedCost,売上高の変動に関わらず一定額発生する費用。,Concept,会計
13,変動費,VariableCost,売上高や生産量に比例して変化する費用。,Concept,会計
14,損益分岐点,BreakEvenPoint,利益がゼロになる売上高または販売数量。,Metric,会計
15,原価計算,CostAccounting,製品・サービスのコストを把握・分析するための会計手法。,Process,会計
16,管理会計,ManagementAccounting,経営意思決定を支援するための内部向け会計。,Process,会計
17,財務会計,FinancialAccounting,外部報告を目的とした会計。法令・会計基準に準拠する。,Process,会計
18,発生主義,AccrualBasis,収益・費用を現金収支に関わらず発生時点に認識する会計原則。,Concept,会計
19,現金主義,CashBasis,収益・費用を現金の受払い時に認識する会計原則。,Concept,会計
20,資本的支出,CapitalExpenditure,固定資産への投資支出。CAPEX。将来の収益創出のための投資。,Concept,会計
21,費用的支出,RevenueExpenditure,当期費用として計上される支出。OPEX。,Concept,会計
22,棚卸資産評価,InventoryValuation,棚卸資産の取得原価を期末に評価する方法。先入先出法・総平均法等。,Process,会計
23,先入先出法,FIFO,先に仕入れた在庫から順に払い出すと仮定する棚卸資産評価法。,Concept,会計
24,総平均法,WeightedAverageMethod,期中の平均単価で棚卸資産を評価する方法。,Concept,会計
25,引当金,Allowance,将来の費用・損失に備えて当期に費用計上する負債性項目。,Concept,会計
26,貸倒引当金,AllowanceForDoubtfulAccounts,回収不能と見込まれる債権に対する引当金。,Concept,会計
27,退職給付引当金,RetirementBenefitObligation,将来支払う退職金・年金に備えた引当金。,Concept,会計
28,減損テスト,ImpairmentTest,資産の回収可能価額と帳簿価額を比較し減損損失を認識するプロセス。,Process,会計
29,公正価値,FairValue,市場参加者間の正常な取引において資産と交換される価格。,ValueObject,会計
30,時価評価,MarkToMarket,保有資産を市場価格（公正価値）で評価すること。,Concept,会計
31,連結調整,ConsolidationAdjustment,連結財務諸表作成時に内部取引等を相殺消去する処理。,Process,会計
32,セグメント情報,SegmentInformation,事業別・地域別の業績を開示する注記情報。,Document,会計
33,EV/EBITDA,EVToEBITDA,エンタープライズバリューをEBITDAで割った相対バリュエーション指標。,Metric,財務分析
34,PEGレシオ,PEGRatio,PERを利益成長率で割った成長調整後バリュエーション指標。,Metric,財務分析
35,ターミナルバリュー,TerminalValue,DCF分析において予測期間以降の将来CF全体を現在価値に換算した値。,Concept,財務分析
36,感応度分析,SensitivityAnalysis,前提条件の変化が結果に与える影響を分析する手法。,Process,財務分析
37,シナリオ分析,ScenarioAnalysis,複数のシナリオを想定して財務影響を評価する手法。,Process,財務分析
38,ブリッジ分析,BridgeAnalysis,期間比較や予実差異の要因を構造的に分解する分析手法。,Process,財務分析
39,ウォーターフォール分析,WaterfallAnalysis,数値の増減要因を積み上げ/積み下げで可視化する分析手法。,Process,財務分析
40,デュポン分析,DuPontAnalysis,ROEを収益性・効率性・財務レバレッジに分解する分析フレームワーク。,Process,財務分析
41,ネットデット,NetDebt,有利子負債から現金・現金同等物を差し引いた実質的な純負債。,Metric,財務分析
42,グロスマージン,GrossMargin,売上総利益率。売上総利益÷売上高。,Metric,財務分析
43,営業利益率,OperatingMargin,営業利益÷売上高。事業の利益率を示す指標。,Metric,財務分析
44,純利益率,NetProfitMargin,当期純利益÷売上高。最終的な利益率。,Metric,財務分析
45,資本回転率,AssetTurnover,売上高÷総資産。資産の効率的活用度を示す。,Metric,財務分析
46,財務レバレッジ,FinancialLeverage,総資産÷自己資本。負債を活用した資本拡大の度合い。,Metric,財務分析
47,ネットリテンション,NetRevenueRetention,既存顧客からの収益維持・拡大率。SaaS評価の重要指標。,Metric,財務分析
48,ユニットエコノミクス,UnitEconomics,1顧客単位の収益性指標。主にLTV/CACで評価。,Metric,財務分析
49,ルールオブ40,RuleOf40,SaaS企業の健全性指標。売上成長率＋営業利益率≧40%が目安。,Metric,財務分析
50,アーニングスサプライズ,EarningsSurprise,実績利益がアナリスト予想を上回る/下回る度合い。,Event,財務分析
51,コンセンサス予想,ConsensusEstimate,複数アナリストの業績予想の平均・中央値。,Concept,財務分析
52,バリューエーションマルチプル,ValuationMultiple,企業価値を特定の利益・収益指標で割った相対評価の倍率。,Concept,財務分析
53,フォワードPER,ForwardPER,来期予想EPSを基に算出したPER。将来の収益力を反映。,Metric,財務分析
54,配当性向,DividendPayoutRatio,当期純利益に対する配当金の割合。株主還元方針の指標。,Metric,財務分析
55,配当利回り,DividendYield,1株当たり配当金÷株価。投資対比の配当収益率。,Metric,財務分析
56,自社株買い,ShareBuyback,企業が市場から自社株式を取得すること。株主還元策の一つ。,Event,財務分析
57,総還元性向,TotalPayoutRatio,配当と自社株買いを合計した株主還元額の純利益比率。,Metric,財務分析
58,株式,Stock,株式会社の所有権を表す有価証券。配当・議決権が付随する。,Concept,投資
59,債券,Bond,発行体が資金調達のために発行する有価証券。元本と利子の支払を約束する。,Concept,投資
60,国債,GovernmentBond,国が発行する債券。信用リスクが低い安全資産の代表格。,Concept,投資
61,社債,CorporateBond,企業が発行する債券。格付けによって信用リスクが異なる。,Concept,投資
62,転換社債,ConvertibleBond,一定条件で株式に転換できる社債。CB。,Concept,投資
63,投資信託,MutualFund,複数の投資家から資金を集め、専門家が運用する金融商品。,Concept,投資
64,ETF,ETF,上場投資信託。指数等に連動し、取引所で売買できる投資信託。,Concept,投資
65,先物取引,FuturesTrade,将来の一定日時に事前合意した価格で売買する取引。,Concept,投資
66,オプション取引,OptionsTrade,特定の資産を将来の一定価格で売買する権利の取引。,Concept,投資
67,スワップ取引,SwapTrade,将来のキャッシュフローを交換する金融取引。金利・通貨スワップ等。,Concept,投資
68,ヘッジ,Hedge,リスクを相殺・軽減するための反対ポジション取引。,Concept,投資
69,ロングポジション,LongPosition,値上がりを期待して資産を買い保有するポジション。,Concept,投資
70,ショートポジション,ShortPosition,値下がりを期待して資産を借りて売る空売りポジション。,Concept,投資
71,ポートフォリオ,Portfolio,複数の金融資産を組み合わせた保有全体。,Concept,投資
72,アセットアロケーション,AssetAllocation,株式・債券・不動産など資産クラスへの資金配分の意思決定。,Concept,投資
73,ベンチマーク,Benchmark,運用成果を評価する基準となる指数・目標。,Concept,投資
74,超過収益,AlphaReturn,ベンチマークを上回る運用収益率。α（アルファ）とも呼ぶ。,Metric,投資
75,ボラティリティ,Volatility,リターンの変動の大きさ。リスク指標として広く使われる。,Metric,投資
76,シャープレシオ,SharpeRatio,リスク1単位当たりの超過収益率。運用効率の指標。,Metric,投資
77,情報比率,InformationRatio,アクティブリターン÷トラッキングエラー。運用能力の指標。,Metric,投資
78,最大ドローダウン,MaxDrawdown,一定期間の資産価値の最大下落幅。,Metric,投資
79,IPO,IPO,新規株式公開。未上場企業が初めて株式を公開市場で売り出すこと。,Event,投資
80,プライベートエクイティ,PrivateEquity,非上場企業に投資するファンド。PE。バイアウト・グロース等。,Concept,投資
81,ベンチャーキャピタル,VentureCapital,スタートアップ・成長企業に投資するファンド。VC。,Concept,投資
82,オルタナティブ投資,AlternativeInvestment,株式・債券以外の不動産・ヘッジファンド・PEなどへの投資。,Concept,投資
83,機関投資家,InstitutionalInvestor,年金・生保・投信等の大口資金を運用するプロ投資家。,Entity,投資
84,アクティビスト,ActivistInvestor,保有株を通じて企業経営に積極的に関与する投資家。,Entity,投資
85,ヘッジファンド,HedgeFund,様々な投資戦略を用いて絶対収益を追求するファンド。,Entity,投資
86,格付け,CreditRating,債券・企業の信用力を評価した等級。S&P・Moodys等が付与。,ValueObject,投資
87,イールドカーブ,YieldCurve,債券の残存期間と利回りの関係を示した曲線。,Concept,投資
88,デュレーション,Duration,債券の実効満期。金利変動に対する価格感応度の指標。,Metric,投資
89,信用スプレッド,CreditSpread,国債利回りと社債利回りの差。信用リスクの対価。,Metric,投資
90,M&A,MergersAndAcquisitions,企業の合併・買収。事業拡大・多角化・資源獲得等を目的とする。,Concept,M&A
91,デューデリジェンス,DueDiligence,買収前に実施する対象企業の財務・法務・事業の詳細調査。DD。,Process,M&A
92,PMI,PostMergerIntegration,M&A完了後の統合プロセス。組織・システム・文化の統合を含む。,Process,M&A
93,バリュエーション,Valuation,企業・資産の経済的価値の算定。DCF・マルチプル等の手法がある。,Process,M&A
94,株式譲渡,ShareTransfer,対象会社の株式を買主に譲渡することで経営権を移転する取引形態。,Process,M&A
95,事業譲渡,BusinessTransfer,対象事業を構成する資産・負債・契約等を個別に移転する取引形態。,Process,M&A
96,TOB,TenderOffer,公開買付。対象企業の株式を市場外で買い集める手続き。,Process,M&A
97,MBO,ManagementBuyout,経営陣が自社を買収するM&A手法。,Process,M&A
98,LBO,LeveragedBuyout,借入金を活用して企業を買収する手法。将来CFで返済する。,Process,M&A
99,SPA,SharePurchaseAgreement,株式売買契約。M&Aにおける最終契約書。,Document,M&A
100,表明保証,RepresentationAndWarranty,売主が対象会社に関する一定事項を保証する契約条項。,Concept,M&A
101,シナジー,Synergy,M&Aにより単独では実現不可能な価値創出効果。コスト・収益シナジーがある。,Concept,M&A
102,のれん,Goodwill,M&A時に取得原価が純資産公正価値を上回る超過価値。,Concept,M&A
